"","ID","Traffic Volume Count Location  Address","Street","Date of Count","Total Passing Vehicle Volume","Vehicle Volume By Each Direction of Traffic","Location","geometry"
"57",733,"645 North","State St","01/09/2007",23100,"North Bound: 10500 / South Bound: 12600","(41.893306, -87.628117)",c(-87.628117, 41.893306)
"58",787,"750 North","Central Park Ave","10/12/2006",10300,"North Bound: 5200 / South Bound: 5100","(41.895238, -87.716306)",c(-87.716306, 41.895238)
"59",241,"7724 South","Racine Ave","03/28/2006",10700,"North Bound: 5100 / South Bound: 5600","(41.753377, -87.653813)",c(-87.653813, 41.753377)
"60",305,"3610 South","Morgan St","03/09/2006",5300,"North Bound: 2600 / South Bound: 2700","(41.828474, -87.65091)",c(-87.65091, 41.828474)
"61",1153,"6023 South","State St","10/11/2006",20400,"North Bound: 9300 / South Bound: 11100","(41.784837, -87.625446)",c(-87.625446, 41.784837)
"62",1068,"406 North","Clark St","09/27/2006",20700,"South Bound: 20700/ Oneway South Bound","(41.889469, -87.631064)",c(-87.631064, 41.889469)
"63",337,"1519 West","Harrison St","04/26/2006",8800,"East Bound: 4400 / West Bound: 4400","(41.874199, -87.665037)",c(-87.665037, 41.874199)
"64",799,"3110 South","California Ave","08/17/2006",30800,"North Bound: 15900 / South Bound: 14900","(41.836927, -87.695017)",c(-87.695017, 41.836927)
"65",1160,"30 South","Wabash Ave","09/26/2006",9200,"South Bound: 9200/ Oneway South Bound","(41.88133, -87.626189)",c(-87.626189, 41.88133)
"66",9,"2050 East","71st St","03/09/2006",8600,"East Bound: 3600 / West Bound: 5000","(41.76626, -87.574226)",c(-87.574226, 41.76626)
"67",941,"2231 North","Kimball Ave","10/09/2006",12200,"North Bound: 6100 / South Bound: 6100","(41.92195, -87.712021)",c(-87.712021, 41.92195)
"68",1302,"9352 South","Dr Martin Luther King Jr Dr","08/31/2006",20000,"North Bound: 10400 / South Bound: 9600","(41.723931, -87.614195)",c(-87.614195, 41.723931)
"69",486,"3845 West","Lawrence Ave","08/10/2006",23800,"East Bound: 11500 / West Bound: 12300","(41.968273, -87.724989)",c(-87.724989, 41.968273)
"70",142,"5420 South","Western Blvd","03/23/2006",20100,"North Bound: 10300 / South Bound: 9800","(41.79459, -87.684058)",c(-87.684058, 41.79459)
"71",273,"329 East","51st St","04/27/2006",8800,"East Bound: 4000 / West Bound: 4800","(41.802072, -87.618178)",c(-87.618178, 41.802072)
"72",1231,"4432 South","Ashland Ave","10/11/2006",39400,"North Bound: 21100 / South Bound: 18300","(41.813049, -87.665083)",c(-87.665083, 41.813049)
"73",411,"1055 North","Central Ave","11/13/2006",22700,"North Bound: 10700 / South Bound: 12000","(41.900144, -87.765583)",c(-87.765583, 41.900144)
"74",1370,"7000 South","Jeffery Ave","09/06/2006",24700,"North Bound: 11900 / South Bound: 12800","(41.767951, -87.576347)",c(-87.576347, 41.767951)
"75",946,"3758 West","Montrose Ave","08/23/2006",22000,"East Bound: 11600 / West Bound: 10400","(41.961009, -87.722889)",c(-87.722889, 41.961009)
"76",477,"3535 West","47th St","08/22/2006",23600,"East Bound: 12300 / West Bound: 11300","(41.808006, -87.712716)",c(-87.712716, 41.808006)
"77",702,"243 North","Homan Ave","09/27/2006",12600,"North Bound: 6300 / South Bound: 6300","(41.88602, -87.711158)",c(-87.711158, 41.88602)
"78",550,"2857 West","Pershing Rd","09/26/2006",7800,"East Bound: 4300 / West Bound: 3500","(41.822739, -87.696963)",c(-87.696963, 41.822739)
"79",659,"3242 North","California Ave","10/09/2006",11900,"North Bound: 5900 / South Bound: 6000","(41.940634, -87.697862)",c(-87.697862, 41.940634)
"80",298,"1015 East","Hyde Park Blvd","04/27/2006",9700,"East Bound: 5000 / West Bound: 4700","(41.802322, -87.600681)",c(-87.600681, 41.802322)
"81",726,"6656 West","Diversey Ave","08/10/2006",23900,"East Bound: 12400 / West Bound: 11500","(41.930915, -87.792906)",c(-87.792906, 41.930915)
"82",226,"1905 South","Loomis St","03/09/2006",5300,"North Bound: 2300 / South Bound: 3000","(41.855898, -87.661264)",c(-87.661264, 41.855898)
"83",642,"2859 North","Central Park Ave","10/17/2006",9000,"North Bound: 3700 / South Bound: 5300","(41.933649, -87.717233)",c(-87.717233, 41.933649)
"84",1121,"1251 South","Michigan Ave","11/16/2006",21600,"North Bound: 12500 / South Bound: 9100","(41.866034, -87.624114)",c(-87.624114, 41.866034)
"85",929,"3809 West","Diversey Ave","08/10/2006",17700,"East Bound: 9300 / West Bound: 8400","(41.931846, -87.722476)",c(-87.722476, 41.931846)
"86",1265,"8333 South","Dr Martin Luther King Jr Dr","10/18/2006",19600,"North Bound: 10300 / South Bound: 9300","(41.742807, -87.614706)",c(-87.614706, 41.742807)
"87",14,"4107 South","Cottage Grove Ave","03/30/2006",10800,"North Bound: 5600 / South Bound: 5200","(41.820171, -87.606798)",c(-87.606798, 41.820171)
"88",1165,"1629 West","Warren Blvd","10/05/2006",4500,"East Bound: 4500 / / Oneway East Bound","(41.882362, -87.668041)",c(-87.668041, 41.882362)
"89",418,"5900 West","Diversey Ave","08/10/2006",21800,"East Bound: 11000 / West Bound: 10800","(41.931174, -87.77358)",c(-87.77358, 41.931174)
"90",417,"5741 West","Grand Ave","10/23/2006",21700,"East Bound: 11700 / West Bound: 10000","(41.919484, -87.769758)",c(-87.769758, 41.919484)
"91",70,"2950 South","Michigan Ave","03/02/2006",13200,"North Bound: 5100 / South Bound: 8100","(41.839562, -87.623493)",c(-87.623493, 41.839562)
"92",1226,"222 West","75th St","10/04/2006",20300,"East Bound: 9800 / West Bound: 10500","(41.758139, -87.630684)",c(-87.630684, 41.758139)
"93",573,"2208 West","111th St","08/22/2006",22600,"East Bound: 11100 / West Bound: 11500","(41.69184, -87.676796)",c(-87.676796, 41.69184)
"94",593,"7845 South","Cottage Grove Ave","10/18/2006",27300,"North Bound: 13700 / South Bound: 13600","(41.75174, -87.605221)",c(-87.605221, 41.75174)
"95",164,"1445 West","63rd Street","03/28/2006",10800,"East Bound: 5600 / West Bound: 5200","(41.779519, -87.661134)",c(-87.661134, 41.779519)
"96",539,"210 South","Clinton St","10/02/2006",11600,"South Bound: 11600/ Oneway South Bound","(41.878904, -87.641098)",c(-87.641098, 41.878904)
"97",1256,"2856 East","79th St","10/18/2006",8600,"East Bound: 3800 / West Bound: 4800","(41.751887, -87.554734)",c(-87.554734, 41.751887)
"98",859,"3501 North","Central Ave","10/26/2006",27200,"North Bound: 14000 / South Bound: 13200","(41.944085, -87.766693)",c(-87.766693, 41.944085)
"99",770,"2761 North","Narragansett Ave","10/25/2006",23700,"North Bound: 11100 / South Bound: 12600","(41.931002, -87.785687)",c(-87.785687, 41.931002)
"100",1376,"1325 West","Granville Ave","11/02/2006",6400,"East Bound: 3300 / West Bound: 3100","(41.994513, -87.663898)",c(-87.663898, 41.994513)
"101",511,"777 West","Chicago Ave","09/19/2006",27600,"East Bound: 13000 / West Bound: 14600","(41.896397, -87.647745)",c(-87.647745, 41.896397)
"102",1333,"290 North","Wells St","09/19/2006",12200,"South Bound: 12200/ Oneway South Bound","(41.886932, -87.633964)",c(-87.633964, 41.886932)
"103",876,"8500 West","Forest Preserve Ave","10/25/2006",10400,"East Bound: 4200 / West Bound: 6200","(41.939787, -87.837966)",c(-87.837966, 41.939787)
"104",1361,"140 East","South Water Lower St","09/26/2006",10600,"East Bound: 6400 / West Bound: 4200","(41.88673, -87.623929)",c(-87.623929, 41.88673)
"105",749,"186 North","Des Plaines St","10/02/2006",7300,"South Bound: 7300/ Oneway South Bound","(41.885696, -87.644242)",c(-87.644242, 41.885696)
"106",806,"1 West","Grand Ave","09/21/2006",18800,"West Bound: 18800/ Oneway West Bound","(41.891671, -87.628113)",c(-87.628113, 41.891671)
"107",983,"1350 West","Lawrence Ave","11/07/2006",20700,"East Bound: 10300 / West Bound: 10400","(41.968951, -87.66443)",c(-87.66443, 41.968951)
"108",1015,"15 South","Wells St","09/19/2006",9900,"South Bound: 9900/ Oneway South Bound","(41.881401, -87.633811)",c(-87.633811, 41.881401)
"109",1147,"115 South","Sacramento Ave","10/09/2006",22100,"North Bound: 11200 / South Bound: 10900","(41.879204, -87.701155)",c(-87.701155, 41.879204)
"110",372,"1760 West","Ogden Ave","05/09/2006",20100,"East Bound: 9700 / West Bound: 10400","(41.876773, -87.671635)",c(-87.671635, 41.876773)
"111",578,"158 East","107th St","08/29/2006",8000,"East Bound: 3600 / West Bound: 4400","(41.69994, -87.618575)",c(-87.618575, 41.69994)
"112",175,"718 West","76th Street","03/28/2006",15400,"East Bound: 7800 / West Bound: 7600","(41.756101, -87.642566)",c(-87.642566, 41.756101)
"113",1321,"3018 East","95th St","11/14/2006",8000,"East Bound: 3700 / West Bound: 4300","(41.722773, -87.550305)",c(-87.550305, 41.722773)
"114",1000,"5017 North","Western Ave","08/15/2006",33100,"North Bound: 17300 / South Bound: 15800","(41.972841, -87.689047)",c(-87.689047, 41.972841)
"115",719,"5205 North","Nagle Ave","08/22/2006",18300,"North Bound: 9400 / South Bound: 8900","(41.975916, -87.787866)",c(-87.787866, 41.975916)
"116",893,"6911 West","Irving Park Rd","08/24/2006",28600,"East Bound: 13600 / West Bound: 15000","(41.952742, -87.799221)",c(-87.799221, 41.952742)
"117",197,"1428 West","87th Street","03/28/2006",31600,"East Bound: 16000 / West Bound: 15600","(41.735844, -87.659417)",c(-87.659417, 41.735844)
"118",1184,"1257 West","Roosevelt Rd","10/19/2006",26800,"East Bound: 13700 / West Bound: 13100","(41.866958, -87.659)",c(-87.659, 41.866958)
"119",438,"3543 West","North Ave","10/18/2006",39500,"East Bound: 20200 / West Bound: 19300","(41.910014, -87.713878)",c(-87.713878, 41.910014)
"120",1293,"3755 East","112th St","10/18/2006",6300,"East Bound: 3500 / West Bound: 2800","(41.69183, -87.531879)",c(-87.531879, 41.69183)
"121",967,"5051 North","Broadway","08/24/2006",25000,"North Bound: 13100 / South Bound: 11900","(41.974157, -87.659809)",c(-87.659809, 41.974157)
"122",208,"948 West","95th Street","03/22/2006",29100,"East Bound: 14900 / West Bound: 14200","(41.721409, -87.647429)",c(-87.647429, 41.721409)
"123",1077,"843 South","Columbus Dr","09/19/2006",37000,"North Bound: 18700 / South Bound: 18300","(41.87138, -87.620556)",c(-87.620556, 41.87138)
"124",1343,"425 South","Wacker Dr","09/19/2006",4900,"North Bound: 2400 / South Bound: 2500","(41.876342, -87.636323)",c(-87.636323, 41.876342)
"125",1216,"6231 South","Narragansett Ave","09/12/2006",10800,"North Bound: 5500 / South Bound: 5300","(41.778562, -87.781296)",c(-87.781296, 41.778562)
"126",55,"5848 South","Indiana Ave","03/02/2006",4400,"North Bound: 4400 / / Oneway North Bound","(41.787779, -87.620665)",c(-87.620665, 41.787779)
"127",844,"2830 West","87th St","08/17/2006",29400,"East Bound: 14800 / West Bound: 14600","(41.735341, -87.693452)",c(-87.693452, 41.735341)
"128",763,"2235 South","Damen Ave","08/17/2006",24000,"North Bound: 12900 / South Bound: 11100","(41.851171, -87.675811)",c(-87.675811, 41.851171)
"129",908,"4850 West","Peterson Ave","09/21/2006",42800,"East Bound: 21200 / West Bound: 21600","(41.990126, -87.750526)",c(-87.750526, 41.990126)
"130",452,"1420 West","Pratt Blvd","08/23/2006",7100,"East Bound: 3900 / West Bound: 3200","(42.00544, -87.666635)",c(-87.666635, 42.00544)
"131",29,"3630 South","Damen Ave","03/01/2006",7000,"North Bound: 3200 / South Bound: 3800","(41.827625, -87.675208)",c(-87.675208, 41.827625)
"132",1046,"335 West","59th St","09/20/2006",16800,"East Bound: 8000 / West Bound: 8800","(41.787212, -87.634206)",c(-87.634206, 41.787212)
"133",953,"1256 West","Addison Ave","08/15/2006",19800,"East Bound: 10100 / West Bound: 9700","(41.947109, -87.661464)",c(-87.661464, 41.947109)
"134",1126,"624 South","Michigan Ave","09/26/2006",33100,"North Bound: 16400 / South Bound: 16700","(41.873905, -87.624218)",c(-87.624218, 41.873905)
"135",317,"575 West","26TH  ST","03/28/2006",6900,"East Bound: 2500 / West Bound: 4400","(41.845391, -87.641581)",c(-87.641581, 41.845391)
"136",330,"1650 East","Midway Plaisance","03/28/2006",13400,"East Bound: 7600 / West Bound: 5800","(41.786166, -87.584966)",c(-87.584966, 41.786166)
"137",350,"2010 South","Calumet Ave","10/17/2006",2400,"North Bound: 1700 / South Bound: 700","(41.855226, -87.619095)",c(-87.619095, 41.855226)
"138",608,"3835 South","Damen Ave","08/17/2006",25800,"North Bound: 12200 / South Bound: 13600","(41.82387, -87.675108)",c(-87.675108, 41.82387)
"139",472,"3908 West","Marquette St","08/22/2006",18000,"East Bound: 8300 / West Bound: 9700","(41.771406, -87.720493)",c(-87.720493, 41.771406)
"140",45,"7952 South","Exchange Ave","03/07/2006",7400,"North Bound: 3500 / South Bound: 3900","(41.7504, -87.5528)",c(-87.5528, 41.7504)
"141",1366,"6350 South","Cornell Dr","08/24/2006",47900,"North Bound: 25800 / South Bound: 22100","(41.778752, -87.585085)",c(-87.585085, 41.778752)
"142",1328,"333 North","Wabash Ave","09/19/2006",10400,"North Bound: 2500 / South Bound: 7900","(41.888062, -87.626842)",c(-87.626842, 41.888062)
"143",31,"4936 South","Damen Ave","03/09/2006",10900,"North Bound: 5900 / South Bound: 5000","(41.803741, -87.674569)",c(-87.674569, 41.803741)
"144",1355,"430 South","Michigan Ave","10/31/2006",33500,"North Bound: 17200 / South Bound: 16300","(41.876241, -87.624273)",c(-87.624273, 41.876241)
"145",698,"249 South","Columbus Dr","11/07/2006",30100,"North Bound: 13900 / South Bound: 16200","(41.878842, -87.620705)",c(-87.620705, 41.878842)
"146",285,"261 East","59th St","03/28/2006",6500,"East Bound: 3400 / West Bound: 3100","(41.78747, -87.619044)",c(-87.619044, 41.78747)
"147",422,"3220 East","134th St","08/31/2006",4700,"East Bound: 2500 / West Bound: 2200","(41.651861, -87.54501)",c(-87.54501, 41.651861)
"148",66,"2350 South","Dr Martin Luther King Jr Dr","05/02/2006",18100,"North Bound: 10700 / South Bound: 7400","(41.849344, -87.618459)",c(-87.618459, 41.849344)
"149",1138,"346 South","Pulaski Rd","10/04/2006",23800,"North Bound: 12200 / South Bound: 11600","(41.875691, -87.725497)",c(-87.725497, 41.875691)
"150",779,"5543 North","Lincoln  Ave","08/16/2006",24400,"North Bound: 12000 / South Bound: 12400","(41.982351, -87.693821)",c(-87.693821, 41.982351)
"151",18,"6533 South","Cottage Grove Ave","03/01/2006",19100,"North Bound: 9800 / South Bound: 9300","(41.775779, -87.605826)",c(-87.605826, 41.775779)
"152",613,"2130 South","Marshall Blvd","09/14/2006",18800,"North Bound: 8600 / South Bound: 10200","(41.852795, -87.699117)",c(-87.699117, 41.852795)
"153",207,"1222 West","95th Street","03/28/2006",32900,"East Bound: 17200 / West Bound: 15700","(41.721324, -87.653942)",c(-87.653942, 41.721324)
"154",774,"3531 North","Broadway","10/16/2006",14700,"North Bound: 6200 / South Bound: 8500","(41.946355, -87.646666)",c(-87.646666, 41.946355)
"155",847,"1420 West","Madison St","10/12/2006",12400,"East Bound: 5300 / West Bound: 7100","(41.881522, -87.66285)",c(-87.66285, 41.881522)
"156",404,"2125 North","Cicero Ave","10/16/2006",39900,"North Bound: 18800 / South Bound: 21100","(41.919517, -87.746187)",c(-87.746187, 41.919517)
"157",543,"239 South","Dearborn St","09/20/2006",17900,"North Bound: 17900 / / Oneway North Bound","(41.878484, -87.629312)",c(-87.629312, 41.878484)
"158",130,"721 South","Western Ave","03/22/2006",29500,"North Bound: 14900 / South Bound: 14600","(41.872427, -87.686197)",c(-87.686197, 41.872427)
"159",1365,"7139 South","Stony Island Ave","08/24/2006",81100,"North Bound: 46300 / South Bound: 34800","(41.764923, -87.585887)",c(-87.585887, 41.764923)
"160",631,"2427 North","Kedzie Ave","10/09/2006",17400,"North Bound: 8500 / South Bound: 8900","(41.92573, -87.707248)",c(-87.707248, 41.92573)
"161",664,"3620 North","Lake Shore Inner Dr","09/18/2006",18900,"North Bound: 6100 / South Bound: 12800","(41.949054, -87.643703)",c(-87.643703, 41.949054)
"162",905,"2228 North","Narragansett Ave","10/25/2006",16200,"North Bound: 8500 / South Bound: 7700","(41.920893, -87.785358)",c(-87.785358, 41.920893)
"163",987,"4322 North","Lincoln Ave","09/18/2006",14100,"North Bound: 7100 / South Bound: 7000","(41.960186, -87.68299)",c(-87.68299, 41.960186)
"164",753,"9761 South","Cottage Grove Ave","10/04/2006",14000,"North Bound: 7400 / South Bound: 6600","(41.716726, -87.604408)",c(-87.604408, 41.716726)
"165",810,"408 South","Clark St","09/20/2006",13000,"South Bound: 13000/ Oneway South Bound","(41.876698, -87.630742)",c(-87.630742, 41.876698)
"166",864,"5050 North","Cicero Ave","08/08/2006",25900,"North Bound: 12700 / South Bound: 13200","(41.972925, -87.747914)",c(-87.747914, 41.972925)
"167",147,"8216 South","Stony Island Ave","04/04/2007",61600,"North Bound: 32800 / South Bound: 28800","(41.745515, -87.585819)",c(-87.585819, 41.745515)
"168",376,"742 West","Root St","05/09/2006",3200,"East Bound: 1400 / West Bound: 1800","(41.818962, -87.645802)",c(-87.645802, 41.818962)
"169",1004,"1031 South","Austin Ave","10/26/2006",26100,"North Bound: 12800 / South Bound: 13300","(41.868169, -87.774229)",c(-87.774229, 41.868169)
"170",389,"11600 South","Halsted St","08/31/2006",30300,"North Bound: 16100 / South Bound: 14200","(41.682968, -87.642082)",c(-87.642082, 41.682968)
"171",1287,"12535 South","Halsted St","11/08/2006",23600,"North Bound: 12500 / South Bound: 11100","(41.665826, -87.641508)",c(-87.641508, 41.665826)
"172",220,"7141 South","Chicago Ave","03/28/2006",19100,"North Bound: 10000 / South Bound: 9100","(41.764998, -87.60436)",c(-87.60436, 41.764998)
"173",1142,"225 West","Randolph St","09/19/2006",18500,"West Bound: 18500/ Oneway West Bound","(41.884466, -87.634637)",c(-87.634637, 41.884466)
"174",1221,"3636 South","Western Ave","10/26/2006",32200,"North Bound: 15600 / South Bound: 16600","(41.827315, -87.684942)",c(-87.684942, 41.827315)
"175",1020,"1314 West","18th St","10/16/2006",9500,"East Bound: 5000 / West Bound: 4500","(41.857903, -87.659605)",c(-87.659605, 41.857903)
"176",582,"11810 South","Western Ave","08/22/2006",23600,"North Bound: 11300 / South Bound: 12300","(41.678624, -87.680741)",c(-87.680741, 41.678624)
"177",498,"350 East","Jackson Dr","09/28/2006",17600,"East Bound: 8900 / West Bound: 8700","(41.878356, -87.618837)",c(-87.618837, 41.878356)
"178",179,"2830 West","79th Street","03/28/2006",33300,"East Bound: 20600 / West Bound: 12700","(41.749936, -87.695059)",c(-87.695059, 41.749936)
"179",879,"6058 West","Foster Ave","10/11/2006",17300,"East Bound: 9100 / West Bound: 8200","(41.975664, -87.78048)",c(-87.78048, 41.975664)
"180",971,"3137 North","Damen Ave","08/16/2006",19200,"North Bound: 10100 / South Bound: 9100","(41.938823, -87.678334)",c(-87.678334, 41.938823)
"181",602,"5413 South","Kedzie Ave","08/10/2006",24300,"North Bound: 12500 / South Bound: 11800","(41.794916, -87.703597)",c(-87.703597, 41.794916)
"182",684,"5232 North","Western Ave","08/15/2006",34600,"North Bound: 17000 / South Bound: 17600","(41.976829, -87.689187)",c(-87.689187, 41.976829)
